icd_code,condition_group
22010,"Cancer - Nose, Nasal Cavity and Middle Ear"
22020,Cancer - Larynx
22030,Cancer - Lung and Bronchus
22050,Cancer - Pleura
22060,"Cancer - Trachea, Mediastinum and Other Respiratory Organs"
23000,Cancer - Bones and Joints
24000,Cancer - Soft Tissue including Heart
25010,Cancer - Melanoma of the Skin
25020,Cancer - Other Non-Epithelial Skin
26000,Cancer - Breast
27010,Cancer - Cervix Uteri
27020,Cancer - Corpus Uteri
27030,"Cancer - Uterus, NOS"
27040,Cancer - Ovary
27050,Cancer - Vagina
27060,Cancer - Vulva
27070,Cancer - Other Female Genital Organs
28010,Cancer - Prostate
28020,Cancer - Testis
28030,Cancer - Penis
28040,Cancer - Other Male Genital Organs
29010,Cancer - Urinary Bladder
29020,Cancer - Kidney and Renal Pelvis
29030,Cancer - Ureter
29040,Cancer - Other Urinary Organs
30000,Cancer - Eye and Orbit
31010,Cancer - Brain
31040,Cancer - Cranial Nerves Other Nervous System
32010,Cancer - Thyroid
32020,Cancer - Other Endocrine including Thymus
33011,Cancer - Hodgkin - Nodal
33041,Cancer - NHL - Nodal
33042,Cancer - NHL - Extranodal
35012,Cancer - Chronic Lymphocytic Leukemia
